cons,pros,summary,advice-to-mgmt,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,company
3,4.2,4.6,3,5,none,none,none,none,none,google
2.8,3,4,3.5,5,4,4,5,5,2,google
4.05,3,3,3,4,4,4,4,4,3,google
2.6,3.95,3,3,4,2,4,4,5,4,google
3.344444444,3.866666667,3,3.128787879,3,2,1,2,5,2,google
2.6,3.95,4.4,3,5,none,none,5,none,none,google
2.9,4.5,3,3.8,4,none,none,none,none,none,google
3,4.533333333,5,3,5,5,5,5,5,5,google
3,3,4.2,3,5,none,none,none,none,none,google
3.244557823,3.764431402,4,3,5,5,5,5,4,4,google
2.36,4.092857143,3,3,2,4,3,2,5,2,google
3.283333333,4.08,3,3,4,4,4,4,5,3,google
2.48,4.5,3,3,5,5,5,5,5,5,google
2,3.933333333,4.4,3,4,none,none,none,none,none,google
2.87,4.066666667,3.65,3,4,3,4,4,5,4,google
3,4.3,3,3,5,none,none,none,none,none,google
3.6375,4.36,4.6,3,5,5,5,4,5,4,google
3,4.2,1.6,3,3,3,3,4,4,2,google
3.4,4.466666667,4,3,5,2,2,4,4,3,google
3.4,4.6,3,3,5,none,none,none,none,none,google
2.922619048,4.6,3.676190476,3,4,5,5,3,5,4,google
2.208333333,3.866666667,4.4,3,5,5,3,5,5,4,google
1.8,3.291666667,3,3,3,3,3,2,3,2,google
3,3.7,4.2,3,5,4,5,5,5,4,google
3,4.6,3,3,5,5,5,5,5,5,google
3.4,4.1,4.2,3,5,5,5,5,5,5,google
3,4.4,4.25,3,5,4,5,5,5,5,google
3.269230769,3.8,4,3.876923077,5,5,5,5,5,5,google
3.74047619,4.059090909,3,3.383928571,5,5,5,5,5,4,google
1,4.4,4.6,3,5,none,none,none,none,none,google
2,4.4,4.1,3.008333333,5,4,5,5,5,4,google
3,3.728571429,4.6,3,5,5,5,5,5,5,google
4,3.95,4.4,3,5,none,none,none,none,none,google
2,4.4,3,3,4,4,4,3,4,3,google
4,4.1,3,3,5,5,5,5,4,4,google
3,4.4,3,3,4,none,none,none,none,none,google
3.105194805,4.116666667,2.736363636,4,4,5,4,4,4,4,google
4.4,4.5,3,3,4,none,none,none,none,none,google
4.2,4.6,3,3,4,2,4,5,4,4,google
3.235,4.032142857,4.3,3.95,3,1,3,5,5,2,google
2.65,4.4,3,3,5,none,none,none,none,none,google
4,3.5875,2.75,3,5,4,5,5,5,4,google
2.3,4.6,3,3,4,4,3,4,4,2,google
3.476190476,3.373333333,3.8,3.4,5,5,5,5,5,5,google
3.2,3.80952381,3,3,5,3,3,4,5,4,google
2.625,4.3,4.6,3,5,5,4,4,5,4,google
3.4,3.84,3,3,5,4,5,5,5,5,google
3,3.8,3,1,2,none,none,none,none,none,google
3,4.6,3,2.666666667,4,4,4,5,5,3,google
2.958333333,4.2,3,3.4,3,3,5,2,3,3,google
4.6,4.090909091,5,3,5,4,5,5,5,5,google
4.6,4.6,4.6,3,5,none,none,none,none,none,google
3,4.124285714,3,3,5,5,5,5,5,5,google
2.888888889,5,3,3,5,4,4,4,4,3,google
3,4.4,4.6,3,4,5,5,3,5,4,google
3,3.666666667,4,3,5,5,5,5,5,5,google
3,4.2,3,3,5,none,none,none,none,none,google
2.916666667,2.875,3,3,1,1,1,1,4,1,google
3.95,3.9,4,3,5,5,4,5,5,4,google
3,4.076666667,3,3,4,none,none,none,none,none,google
3,4.6,3,3.9,4,none,none,none,none,none,google
2.6,4.014285714,3,3,5,3,4,5,5,3,google
2.416666667,3.84,5,3,5,none,none,none,none,none,google
3.3,4.4875,3,3,5,4,5,5,5,4,google
3,4.166666667,3.633333333,3,4,none,none,none,none,none,google
2.842857143,4.3,2.7,3,3,3,2,3,3,3,google
3.50952381,3.516666667,4.3,3.546666667,5,5,5,5,5,4,google
2.4,3.676190476,4.6,3,5,4,5,5,5,4,google
4,4.4,3,3,4,none,none,none,none,none,google
4,4.6,3,3,5,none,none,none,none,none,google
3,3.714285714,3,3,5,5,5,5,5,5,google
3,4.82,3,3,5,5,5,5,5,5,google
3.428571429,3.433333333,4.2,3,5,5,5,4,5,5,google
3,3.8,3,3,4,2,2,3,3,3,google
2.883333333,4.333333333,4.5,3,5,5,5,4,5,4,google
3.366666667,3.428571429,4.6,3,5,none,none,none,none,none,google
3,4.4,3,3,3,none,none,none,none,none,google
3,4.2,3,3,5,5,4,5,5,4,google
3.2,4.4,3,3,5,none,none,none,none,none,google
2.955555556,4.9,2,3,1,2,2,1,5,1,google
3.428571429,3,3,3,4,4,5,3,5,4,google
3,3.8,4.6,3,5,none,none,none,none,none,google
2.625,4.2,3,3,4,4,5,2,5,4,google
3,4.6,3,3,5,5,5,5,5,5,google
2.6,5,4.4,3,5,5,5,4,4,4,google
3.2,4.6,3,3,4,4,4,3,4,4,google
2.866666667,4.4,3.95,3,4,4,4,5,5,3,google
2.955555556,4.183333333,3.557575758,3,4,none,none,none,none,none,google
3,3.866666667,3,3,5,5,5,5,5,5,google
3.476190476,4,3,3,5,none,none,none,none,none,google
3,4.3,3,3,5,3,3,5,3,4,google
3.207142857,4.076190476,3.380952381,3,4,none,none,none,none,none,google
3.105,3.991428571,3.16,2.591666667,3,2,3,3,4,2,google
2.683333333,3,3,3,5,5,5,5,5,5,google
3.8,5,3,3,5,5,5,5,5,4,google
2.416666667,4.666666667,3,3,5,5,5,5,5,4,google
4,4.6,4.6,3,5,4,5,4,4,5,google
2.9,3.8,5,3.214285714,5,4,5,4,3,5,google
2.5125,4.266666667,3.91,3,5,5,5,5,5,5,google
3.4,4.6,3.6,3,2,3,3,3,4,1,google
3.176190476,3.487891156,4.75,3,5,5,5,5,5,5,google
3.1,4.2,3,3,4,none,none,none,none,none,google
3.2,4.1,3.05,2.9,3,none,none,none,none,none,google
3.088888889,4.4,4.4,3,5,4,5,5,3,4,google
2.966666667,3.644444444,3.4,3,2,4,2,2,2,2,google
3.016071429,4,3,2.75,3,1,3,5,5,3,google
3.2,3,3,2.828571429,1,1,1,1,1,1,google
3,3,3,3,4,none,none,none,none,none,google
3,4.4,3,3,4,none,none,none,none,none,google
3.428571429,3.63,3.8,3,4,3,2,4,5,5,google
3.628571429,4.4,3,3,5,4,5,5,5,4,google
4.2,4.8,4.2,4.6,5,none,none,none,none,none,google
2.212962963,4.133333333,4.4,3,4,3,5,3,3,3,google
3.4,3.564285714,5,3,5,none,none,none,none,none,google
2.8,4.56,4.6,5,5,5,5,5,5,5,google
3.125,3,3,3,4,3,4,5,5,4,google
2.9875,4.466666667,4.6,3.15625,5,4,3,4,5,3,google
3.32,4.4,4.4,3,5,none,none,none,none,none,google
2.96,4.076190476,3,3,5,5,5,4,5,5,google
3,5,3,3,5,4,5,4,5,4,google
4,3.633333333,3,3,5,none,none,none,none,none,google
2.87,4.2,4.6,3,5,5,5,5,5,5,google
3,3.624242424,3.4,3.4,4,5,5,5,3,5,google
2.2,4.4,4,3,4,5,4,4,4,3,google
3.4,4.1,3,3,5,5,5,5,5,5,google
3,3,3,3,5,none,none,none,none,none,google
3.557142857,3.594444444,4.5,3,5,none,none,none,none,none,google
3.2,3.9,4,3,4,3,5,4,5,4,google
2.9,4.342857143,3,3,5,none,none,none,none,none,google
3,5,3,3,5,none,none,none,none,none,google
3.4,3.428571429,4.6,3,5,5,5,5,5,5,google
2.3,4.8,3,3,3,3,5,5,4,4,google
3,4.4,3,3,5,none,none,none,none,none,google
3.29,4.175,3,3,5,none,none,none,none,none,google
4,4.4,4.4,3,5,none,none,none,none,none,google
2.7,4.033333333,3,3,4,none,none,none,none,none,google
3.5,3.7,3,3,3,5,3,3,3,2,google
3,3.68,3,3,5,5,5,5,5,5,google
1.3,3.516190476,3,3,5,5,5,5,5,5,google
4.6,4.6,4.2,3,4,none,none,none,none,none,google
3.5,4.1,3,3,2,none,none,none,none,none,google
2.922619048,3.453061224,4.75,3,5,4,5,5,5,4,google
2.5,4.2,3,3,3,3,3,3,3,3,google
2.654166667,3.8,3,4,1,2,1,2,3,1,google
3.160952381,4.014285714,3.4,3,5,5,5,5,5,5,google
3,4.4,4.4,3,5,5,5,5,5,5,google
3,3.773333333,3,3.523611111,5,none,none,none,none,none,google
2.87,3.16,3.7,3,5,5,5,5,5,5,google
3.32,4.6,4,3,5,4,5,5,5,5,google
2.75,4.6,3.3,3,5,5,5,5,5,5,google
3.428571429,3.7,4.6,3,3,4,4,3,3,4,google
2.8,3.6,4.4,3,4,5,3,3,5,3,google
5,5,4.25,3,5,5,5,5,5,5,google
3.3,4,3,3,5,5,5,5,5,5,google
2.8,3.2,4,3,5,5,5,5,5,5,google
4,4.6,4.6,3,4,5,4,3,4,4,google
3,3,3,3,4,3,4,3,4,3,google
3,4.3,4.4,3,4,none,none,none,none,none,google
3.15625,3.4,4.1,3,4,3,4,3,5,4,google
5,4.116666667,4.2,3,5,5,5,5,5,5,google
3,4.3,5,3,5,none,none,none,none,none,google
3.36,3.8,5,3,5,5,5,5,5,5,google
3.5,4.333333333,3,3,5,5,4,4,5,4,google
3.557575758,3,4.4,3,4,none,none,none,none,none,google
3,3,5,4,4,4,4,5,4,4,google
2.708333333,4.4,3,3,4,4,4,3,4,4,google
3,3,3,3,5,none,none,none,none,none,google
3.6,4.044,3.5,3.293181818,5,3,4,4,4,4,google
3,1.8,3,3,4,3,4,3,5,3,google
2.708333333,3.914285714,3.6,3,4,4,5,4,5,4,google
3.272727273,5,3,3,5,5,5,5,3,5,google
3.392857143,3,3,3,5,3,4,5,4,4,google
2.874285714,3.96,3,3,5,5,5,5,5,4,google
2.86,4.396969697,5,2.6,5,5,5,5,5,5,google
1.5,4.533333333,3,3,5,none,none,none,none,none,google
3.857142857,3.6,4.4,4,4,2,5,5,5,3,google
3.666666667,4.466666667,3,3,5,4,5,4,5,4,google
3,3.272727273,3,3,5,5,4,5,4,5,google
3.112820513,3,3,3,2,3,2,2,4,4,google
2.85,4.6,3.75,3,5,5,5,4,5,5,google
3,3.633333333,3,3.428571429,5,4,5,4,4,4,google
2.9,4.4,3,3,4,none,none,none,none,none,google
5,3,3,3,5,4,5,5,5,4,google
3.142098765,3.431818182,4.6,3.872222222,1,1,2,3,3,1,google
4.6,3,5,3,5,5,5,5,5,4,google
3.214285714,4.3,3,3,4,none,none,none,none,none,google
4.4,4.2,3,3,5,5,5,5,5,5,google
3,3,4.6,3,5,5,5,5,5,4,google
3,4.4,3,3,5,none,none,none,none,none,google
3.134126984,3.541071429,3.85,3,4,none,none,none,none,none,google
2.922619048,5,4.4,4.04,5,3,5,5,3,2,google
3.424761905,3,3,3,5,none,none,none,none,none,google
2.659220779,3.133333333,3,2.5125,1,none,none,none,none,none,google
2.955555556,2.678571429,4.6,3,5,5,5,5,5,5,google
2.658333333,3.831746032,5,3,5,5,5,5,5,5,google
3,4.106666667,4.6,3,5,none,none,none,none,none,google
2.833333333,4.25,4,3,5,5,5,5,5,5,google
2.416666667,4.076190476,4.5,3,5,5,4,3,5,5,google
2.8,3,5,4.75,5,4,4,5,5,5,google
2.35,3,3,3.4,5,4,4,5,5,5,google
2.998740032,3.590480896,4.6,3,5,3,5,4,5,4,google
3.4,3,4.6,3,5,none,none,none,none,none,google
3.285714286,4.8,3,3,5,4,5,5,4,5,google
3,4.6,4.6,3,5,4,5,5,5,5,google
3.55,4.342857143,5,3,5,5,5,5,5,5,google
2.923076923,4.2,3,3,4,none,none,none,none,none,google
2.416666667,4.4,3,3,3,4,4,5,3,4,google
4,4.4,3,3,5,5,5,5,5,5,google
3,3.8,3,3,5,5,5,5,5,5,google
3,3.428571429,3,3,4,5,5,4,5,4,google
3.32,4.316666667,3,3,5,5,5,5,5,5,google
3.35,4.111111111,3,4.5,5,2,4,4,5,2,google
2.922619048,4.6,3,3,4,5,5,4,5,2,google
3.114953704,3.797916667,4,3.625,3,2,3,2,5,3,google
3.016666667,4.2,3,3,3,4,3,3,5,1,google
3,4.6,4.4,3,5,none,none,none,none,none,google
3.4,2.74,5,3,5,5,5,4,5,3,google
3,4.6,4.6,3,5,none,none,none,none,none,google
2.241666667,4.4,4.4,3,5,none,none,5,none,none,google
2.7,3.333333333,3,4,3,4,4,5,4,4,google
3.035,4,3,3,3,none,none,none,none,none,google
3.10625,3.92,3.8,3,5,4,5,4,4,4,google
3,3,5,3,5,5,5,5,5,5,google
3,4.4,4.4,3,5,none,none,none,none,none,google
2.775,3.914285714,4.4,3,5,4,5,5,5,5,google
2.85,3.8,3,3,5,1,5,4,5,3,google
3.116666667,3.98,4.1,3,4,5,4,3,5,4,google
2.74,4.7,5,4.4,4,4,5,5,5,5,google
3,1.4,3,3,4,none,none,none,none,none,google
2.6,3.8,3,3,5,none,none,none,none,none,google
3,4.3,4.6,3,5,4,5,5,5,4,google
2.692719298,4.066666667,3,3.2,1,1,1,1,none,1,google
2.6,3.5,3,3.272727273,3,3,4,none,4,2,google
3.210714286,4.6,2.2,3.333333333,3,3,3,2,4,2,google
3.2,3.041666667,3,3,5,none,none,none,none,none,google
3,4.4,3,3,5,5,5,5,5,5,google
2.976190476,4.1,4.6,3,5,5,5,5,4,4,google
2.4,3.8,4.6,3,4,3,4,5,5,3,google
4.4,4.4,4.4,3,5,5,3,1,5,3,google
3.155555556,3.633333333,3,3.3,5,5,5,5,5,5,google
2.533333333,3.866666667,3,3.666666667,4,4,5,4,4,5,google
3,3.575,5,3,4,5,4,4,4,4,google
1,4.5,3,3,5,5,5,5,5,4,google
3.4,4.6,3,3,5,5,4,5,4,4,google
2.416666667,4.4,4.4,3,3,none,none,none,none,none,google
3.8,5,3,3,5,2,4,5,4,5,google
3.523809524,3.714285714,3.7,3,4,none,none,none,none,none,google
2.708333333,4.05,3,3,4,none,none,none,none,none,google
3.473333333,3.942857143,2.416666667,3.28,4,4,5,3,5,5,google
1.8,4,4.2,3,5,2,4,4,5,5,google
3.428571429,3.375,4.6,3,5,3,4,3,5,3,google
3.284444444,3.233673469,3,2.9,4,4,5,5,5,5,google
2.5,3,3,3,4,4,4,4,4,4,google
3,3,3,3.55,3,3,4,3,2,3,google
2.620833333,4.6,3,3,5,none,none,none,none,none,google
3,3.842857143,3,3,5,none,none,none,none,none,google
3.4,2.416666667,3,3,5,2,3,5,4,4,google
2.222222222,3.557142857,3,3,4,3,3,4,5,3,google
3.25,4.4,4.4,3,4,none,none,none,none,none,google
3.711111111,3,3,3,5,5,5,5,5,5,google
3.4,3.866666667,3,3,5,none,none,none,none,none,google
3.337745455,4.4,4.8,3,5,5,5,5,5,4,google
3.4,4.266666667,3.8,3,4,3,5,4,5,2,google
2.941,4,3.35,3.16,1,3,1,1,5,1,google
3,4.1,3,4.4,5,3,5,5,5,5,google
3.666666667,3.866666667,3,3,4,none,none,none,none,none,google
3.2,3.985714286,3,3,4,5,4,4,4,3,google
3.814285714,4.3,5,3.333333333,5,5,5,4,5,5,google
2.708333333,3.311111111,5,3,5,5,5,5,5,5,google
3.4,3.816666667,3,3,1,1,1,1,1,1,google
3.428571429,3.7875,3,3,4,3,5,4,5,4,google
3.418181818,2.961616162,1.8,5,5,2,5,5,4,5,google
4,4.6,3,3,5,none,none,none,none,none,google
2.901666667,3.573809524,2.5,3,4,4,4,3,3,2,google
3,4.6,4.6,3,5,5,5,5,5,5,google
3.1625,3.933333333,3,3,5,5,5,3,5,5,google
3.407242063,3.2,3,3.676190476,1,3,3,1,5,1,google
3.95,4.5625,4.4,3,5,none,none,none,none,none,google
3,3.766666667,4.4,3,4,none,none,4,none,none,google
2.993354936,3.512,2.644444444,3.208333333,3,4,4,3,4,2,google
2.857142857,4.4,3,3,3,3,3,1,4,3,google
3,4.4,3,3,5,none,none,none,none,none,google
2.922619048,4,3,3,5,none,none,none,none,none,google
2.924603175,3.6,3,3.933333333,3,3,5,4,1,3,google
2,3,4,3,3,3,2,4,5,4,google
2.7,4.333333333,3,3,4,none,none,none,none,none,google
3.875,3.725714286,3.914285714,3,5,4,none,none,5,none,google
3,3.9,3,3,4,3,4,5,4,3,google
2.9,4.6,3,3,5,none,none,none,none,none,google
3.242857143,3.428571429,3,3,5,4,4,4,5,4,google
3.441666667,5,4.4,3,5,5,5,5,5,5,google
2.416666667,4.4,3,3.785714286,5,5,5,5,5,5,google
3.32,4.4,3,3,3,none,none,3,none,none,google
3.142857143,4.2,3,3,5,none,none,none,none,none,google
2.416666667,4.2,4.6,3,5,none,none,none,none,none,google
3.208333333,4.3,3,3,5,5,5,5,5,5,google
3,3.3,3,3,3,none,none,none,none,none,google
3,3.604166667,3,3,5,5,4,5,5,4,google
2.972222222,3.714285714,3,3,5,4,4,4,4,4,google
2.733333333,2.7,1.6,3,4,none,none,none,none,none,google
3.0875,3.666666667,4.6,3,4,5,5,3,5,4,google
2.7,3.95,3,3,5,5,5,5,5,5,google
3.05,3.993877551,4.6,2.87,5,5,5,5,5,5,google
3.066666667,3.995833333,3,2.883858998,3,5,2,5,5,4,google
3.741666667,4.6,3,3,5,5,5,5,5,5,google
5,4.6,3,3,3,none,none,none,none,none,google
2,4.4,4.4,3,3,5,3,1,5,3,google
2.658333333,3.573809524,3.6,3.733333333,5,5,5,5,5,5,google
4.4,4.4,3,3.4,5,5,5,5,5,5,google
2.75,3.676190476,4.6,3,5,5,5,5,5,4,google
2.75,4.6,4.6,3,5,5,5,4,5,3,google
3.5,3.733333333,3,3,5,3,5,3,5,4,google
2.8,4.2,3.4,3.8,5,5,5,5,5,5,google
3.208333333,3.593333333,3,3,5,5,5,5,5,5,google
2.977777778,3,3,2.6,2,1,1,2,4,1,google
3.14,3,3,3,4,3,3,4,4,4,google
3,3.8,3,3,5,3,5,5,5,5,google
3,3.75,3,3,5,5,5,5,5,5,google
3.4,4.6,3,3,4,4,3,4,3,2,google
2.4,4.6,3.8,3,5,none,none,none,none,none,google
2.614285714,3.614285714,3.666666667,3,5,5,5,5,4,3,google
3,3.408333333,3,3,4,none,none,none,none,none,google
2.7,4.025,4.4,3,5,5,4,5,5,4,google
2,3.9,3,3,5,5,5,4,5,4,google
3.35,3.532346641,3,3,5,5,5,5,5,5,google
3,3.75,3,3,4,3,3,4,4,4,google
2.7,2.75,4.4,3,5,none,none,none,none,none,google
2.2,3.8,3,3,3,2,2,4,4,3,google
2.611111111,5,4.6,3,5,4,4,5,5,4,google
2.8,4.2,5,3,5,5,5,5,5,5,google
2.75,3.5625,3,2.366666667,5,3,4,5,5,5,google
3,3,3,3,5,5,5,5,5,4,google
4.3,4.1,4.4,3,5,none,none,none,none,none,google
3.463333333,3.38452381,3,3,4,2,5,3,5,4,google
2.9,4.2875,3,3,5,5,5,5,5,5,google
3,4.4,3,3,4,none,none,none,none,none,google
2.552777778,3.275,3,2.7,2,1,4,2,5,1,google
3.028571429,3.866666667,3,2.833333333,5,4,4,4,4,4,google
2.8,4,4.4,3,5,4,4,4,5,4,google
3.026363636,3.8,4,3.339285714,2,3,2,2,4,2,google
2.708333333,4.6,4.6,2.6,5,5,5,4,4,5,google
3.1,3.95,4,3,2,4,1,3,5,1,google
3.4,3.593333333,3.9,3,4,3,4,4,5,2,google
2.857142857,3.866666667,3,3,4,none,none,none,none,none,google
3,3.933333333,3,3,1,3,5,3,3,3,google
2.8,4.666666667,5,3,5,none,none,none,none,none,google
2.422222222,3.9,4.2,3,4,5,5,5,4,4,google
3.5,4.075,3.7,3,5,4,5,5,3,5,google
3.866666667,3.4,5,3,4,5,5,4,5,5,google
3.714285714,4.4,3,3,3,none,none,none,none,none,google
3.664285714,3.914285714,3.95,3,5,none,none,none,none,none,google
3.076190476,3.527777778,4,3,5,3,5,5,5,4,google
3,3.8,4.6,3,5,none,none,none,none,none,google
3,3.89,3.4,3,5,none,none,none,none,none,google
3,4.014285714,4.6,3,5,5,5,5,5,5,google
2.625,4.6,3,3,5,5,5,5,5,5,google
3,4.6,3.733333333,3,5,5,4,5,5,4,google
3.257936508,3.7,3.8,4,5,3,4,5,5,4,google
2.35,5,3.2,3,5,none,none,none,none,none,google
4.25,4.25,5,4,5,4,5,4,3,4,google
2.375,4.4,3.3,3,3,3,none,3,3,3,google
3.2,3.885714286,4.4,2.876334776,5,4,4,5,5,4,google
3,3.966666667,3.2,3,5,4,5,4,4,4,google
2.2,4.133333333,3,3,5,5,5,5,5,5,google
2.561111111,4.6,3,3,4,3,5,4,4,4,google
4.3,4.1,3,3,3,none,none,none,none,none,google
3.2,4.342857143,3,3.263333333,5,4,5,3,5,3,google
4.6,3.939047619,5,3,4,5,5,5,5,5,google
2.7,3.5,3,3,4,5,4,3,4,4,google
3.166666667,3.666666667,3,3,4,2,5,5,5,4,google
3.85,4.2,3,3,1,3,5,2,2,1,google
3.527922078,4.3,3.4,3.213333333,4,4,4,4,5,3,google
3,2.742857143,3.2,3,5,3,3,5,5,4,google
2.827070707,3.8,3,3.4,4,5,5,3,3,5,google
3,3.966666667,3,3,4,4,4,5,5,4,google
2.7,4.6,3,3,4,4,4,3,4,4,google
3.32,4.2,3,3,5,5,5,4,5,4,google
3.02962963,3.978571429,3,3,5,5,5,5,5,5,google
3,3,4.4,3,5,none,none,none,none,none,google
4,4.6,3,3,5,5,5,5,5,5,google
2.5,4.285714286,3,3,5,none,none,none,none,none,google
3.7,3.564285714,3,3,5,none,none,none,none,none,google
2.5,4.5,4.6,3,4,4,5,3,4,4,google
2.625,3.933333333,4.4,3,4,4,3,4,5,4,google
2.2,4.6,4.6,3,5,none,none,none,none,none,google
2.533333333,3.7,3,3,5,4,4,4,5,4,google
1,3,3.666666667,3.490909091,3,none,none,none,none,none,google
3,5,3,5,4,5,5,5,5,5,google
3,4.6,3,3,5,5,5,5,5,3,google
2.95,4.306666667,3,3,5,none,none,none,none,none,google
3,4.266666667,4.6,3,4,5,4,4,5,4,google
3.428571429,3,4.6,3,4,none,none,none,none,none,google
2.333333333,4.4,3,3,5,5,5,5,5,5,google
3.6,3.8,4.6,3,5,none,none,5,5,none,google
3.4,4.2,4.2,3,5,5,5,5,5,5,google
3,3.8,3,3,4,3,4,3,4,1,google
2.488888889,3.374285714,4,3,4,4,4,3,4,none,google
3,3.741666667,3,3,5,5,5,5,5,5,google
2.22,4.407142857,4.6,3,5,5,5,5,5,4,google
3.208333333,4.44,4.8,3,5,5,5,5,4,4,google
4,4.20952381,4.6,3,5,3,5,4,4,3,google
2.358333333,4.666666667,3.936363636,3,4,2,4,5,5,3,google
2.5,3.272222222,3,3,5,5,5,5,5,5,google
2.4,3.428571429,3,3,3,2,2,4,4,2,google
3,4.1,3,3,2,3,2,2,4,2,google
3.786363636,3.75,5,1,5,2,5,3,5,4,google
4,3.8,3,3,5,none,none,none,none,none,google
3.428571429,3.428571429,5,3,5,none,none,none,none,none,google
3.2,4.8,4.82,3,5,5,5,4,4,4,google
2.805555556,3,3,3,5,3,1,5,5,3,google
3.133333333,4.633333333,3.4,3,5,3,5,4,5,4,google
3,3,4,4.75,5,4,5,5,5,5,google
3.214285714,4.433333333,4.6,3,4,3,4,3,5,4,google
3.4,4.2,3,3,5,4,4,4,4,3,google
4,5,3,3,5,5,5,5,5,5,google
2.416666667,4,3,4,5,5,5,5,5,5,google
3.15,4.16,4.6,3,4,none,none,none,none,none,google
2.677777778,3.753125,3,3,4,4,4,4,4,3,google
3.571428571,3,3,2.8,2,2,4,1,1,1,google
2.5,3.9,4,1,5,none,none,none,none,none,google
3.08,3.951428571,2.8,3,3,2,3,3,5,4,google
3,3,3,3.2,5,5,5,5,5,5,google
2.606666667,4.014285714,3,3,5,4,5,5,5,5,google
3.175,3.372727273,3.533333333,3,4,4,4,2,5,4,google
4.6,4.5,3,3,1,none,none,none,none,none,google
3.428571429,3.428571429,4.6,3,5,none,none,none,none,none,google
3.402380952,2.844444444,3,3,5,5,5,5,5,4,google
3,3.7,3,3,5,none,none,none,none,none,google
2.7875,4.4,3,3,1,none,none,none,none,none,google
3.020833333,4.04,4.6,3,5,5,5,5,5,5,google
2.798316498,4.4,4.4,3,5,3,5,5,5,4,google
3,4,3,3,5,5,5,5,5,3,google
3,4.127272727,4.6,3,4,4,5,4,5,2,google
3.232142857,3.908888889,3,3,4,3,3,4,4,3,google
2.986904762,3.740909091,4.6,3,5,none,none,none,none,none,google
2.570833333,3.676190476,3,2.788392857,3,5,1,1,2,1,google
4.4,4.6,3,3,5,5,5,5,5,5,google
2.658333333,4.5,3,3,5,none,none,none,none,none,google
2.25,4.175,4.6,3,4,none,none,none,none,none,google
3.208333333,3,3,4,3,5,3,1,3,2,google
3.542857143,3.888010204,4.6,3,4,4,4,4,5,4,google
3,4.2,3,3,5,none,none,none,none,none,google
3.433333333,4.6,3,3,5,5,5,4,5,5,google
3.03,4.1,4.6,3,5,none,none,none,none,none,google
3,4.2,4.6,4,5,5,5,5,4,5,google
3.3,4.2,4.4,3,5,4,5,5,5,1,google
3.041666667,3.924489796,1.8,3,3,5,1,4,4,1,google
4,4.4,3,3,4,none,none,none,none,none,google
3.5,3.933333333,5,3,5,5,5,5,5,5,google
3.15,4.3,4.066666667,3,4,5,3,2,4,2,google
2.8,4.107142857,4.6,3,5,4,4,3,5,3,google
3,3.76,3,3,4,none,none,none,none,none,google
